provinsi,kepadatan 2019,kepadatan 2020
Aceh,93.0,91.0
Sumatera Utara,200.0,203.0
Sumatera Barat,130.0,132.0
Riau,80.0,73.0
Jambi,72.0,71.0
Sumatera Selatan,92.0,92.0
Bengkulu,100.0,101.0
Lampung,244.0,260.0
Kep. Bangka Belitung,91.0,89.0
Kep. Riau,267.0,252.0
DKI Jakarta,15900.0,15907.0
Jawa Barat,1394.0,1365.0
Jawa Tengah,1058.0,1113.0
DI Yogyakarta,1227.0,1171.0
Jawa Timur,831.0,851.0
Banten,1338.0,1232.0
Bali,750.0,747.0
Nusa Tenggara Barat,273.0,286.0
Nusa Tenggara Timur,112.0,109.0
Kalimantan Barat,34.0,37.0
Kalimantan Tengah,18.0,17.0
Kalimantan Selatan,110.0,105.0
Kalimantan Timur,29.0,29.0
Kalimantan Utara,10.0,9.0
Sulawesi Utara,181.0,189.0
Sulawesi Tengah,49.0,48.0
Sulawesi Selatan,189.0,194.0
Sulawesi Tenggara,71.0,69.0
Gorontalo,107.0,104.0
Sulawesi Barat,82.0,85.0
Maluku,38.0,39.0
Maluku Utara,39.0,40.0
Papua Barat,9.0,11.0
Papua,11.0,13.0
